library,version,path_rel,minified,sha1
vi.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/vi.js,no,ec5b0437dd65204e849dc55fdfe3b17ef1fd6d70
zh-cn.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/zh-cn.js,no,bf27aaa7b893fdcae0f8dded730c992baf7bf27e
zh.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/zh.js,no,baa5eb1f917c334f4b275a80a244998fc0ff4544
about.js,,WebGestor/plugins/ckeditor/plugins/about/dialogs/about.js,no,1d540fbb2fc34fac13e65851267eba67ac97a092
paste.js,,WebGestor/plugins/ckeditor/plugins/clipboard/dialogs/paste.js,no,264adad159efd78740c631ff50441235f623b2ea
dialogDefinition.js,,WebGestor/plugins/ckeditor/plugins/dialog/dialogDefinition.js,no,93469fe9b398670df7517f971f6d3676782114ba
image.js,,WebGestor/plugins/ckeditor/plugins/image/dialogs/image.js,no,98245c1f9cd0dce4b40aa0fd0e35ffb7672e5ee8
anchor.js,,WebGestor/plugins/ckeditor/plugins/link/dialogs/anchor.js,no,116f6c8e5bd4b8ab373805e2cf82d965443831d8
link.js,,WebGestor/plugins/ckeditor/plugins/link/dialogs/link.js,no,7cad49087bdfe488860b29f3a92d4dacc181e56c
default.js,,WebGestor/plugins/ckeditor/plugins/pastefromword/filter/default.js,no,99fd100cf037f5c760f84c0dfef394b4ad3df9bb
options.js,,WebGestor/plugins/ckeditor/plugins/scayt/dialogs/options.js,no,857a29fb9bc3aa2ab79e3883a261072abe34aa8b
ar.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/ar.js,no,b5b59197366554e3181f1931036ad58a9331f3a1
bg.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/bg.js,no,5e44d3cafec8d358bf1a7c4f99c939163b6a8008
ca.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/ca.js,no,e9b3cea2975194e79daa9ea6f7e4c41b465040fc
cs.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/cs.js,no,39c4d5f06f1a72b515ba4c98a81190eaa57ed984
cy.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/cy.js,no,c2a62c8d3d3f28f205d4b0c8386b04c9949a16dc
de.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/de.js,no,72a52882eb96978316abb7396fac09ac1cfafa47
el.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/el.js,no,c9c819b0770f6ee8978785564cd5477e142dc357
